,logtype,@timestamp,system,hostname,loghost,envname,procname,procid,module,keywname,keywvalue,keymask,logtext,errstack,errstackidx,errlocation,errseverity,csvfile
0,LOG,2018-01-28T06:20:07.412Z,GRAVITY,wgv,wgv,wgv,bob_44345,166,seq,,,,OB paused at 2018-01-28T06:20:07,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-27.csv
1,LOG,2018-01-28T06:20:10.282Z,GRAVITY,wgv,wgv,wgv,bob_44345,166,seq,,,,OB continued at 2018-01-28T06:20:10,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-27.csv
2,LOG,2018-01-27T09:04:29.130Z,GRAVITY,wgv,wgv,wgv,bob_901,189,seq,,,,OB finished (TERMINATED) in 1458 seconds at 2018-01-27T09:04:29,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-26.csv
3,LOG,2018-01-27T09:05:13.365Z,GRAVITY,wgv,wgv,wgv,bob_ins,195,seq,,,,(OBS.NAME: Calibration // OBS.ID: 200385148),0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-26.csv
4,LOG,2018-01-30T06:40:41.712Z,GRAVITY,wgv,wgv,wgv,bob_13298,252,seq,,,,OB started at 2018-01-30T06:40:41,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-29.csv
5,LOG,2018-01-30T06:40:41.712Z,GRAVITY,wgv,wgv,wgv,bob_13298,252,seq,,,,(OBS.NAME: CAL_HD55526 // OBS.ID: 1828997),0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-29.csv
6,LOG,2018-02-04T18:41:25.773Z,GRAVITY,wgv,wgv,wgv,bob_16237,115,seq,,,,(OBS.NAME: Calibration // OBS.ID: -1),0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-04.csv
7,LOG,2018-02-03T12:41:02.246Z,GRAVITY,wgv,wgv,wgv,bob_ins,77,seq,,,,OB started at 2018-02-03T12:41:02,0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-03.csv
8,LOG,2018-02-02T18:08:33.399Z,GRAVITY,wgv,wgv,wgv,bob_36376,97,seq,,,,OB started at 2018-02-02T18:08:33,0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-02.csv
9,LOG,2018-02-02T18:08:33.400Z,GRAVITY,wgv,wgv,wgv,bob_36376,97,seq,,,,(OBS.NAME: Calibration // OBS.ID: -1),0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-02.csv
10,LOG,2018-01-30T07:50:05.781Z,GRAVITY,wgv,wgv,wgv,bob_13298,252,seq,,,,ACK ABORT (red),0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-29.csv
11,LOG,2018-02-01T14:00:35.169Z,GRAVITY,wgv,wgv,wgv,bob_47127,197,seq,,,,OB started at 2018-02-01T14:00:35,0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-01.csv
12,LOG,2018-02-01T14:00:35.169Z,GRAVITY,wgv,wgv,wgv,bob_47127,197,seq,,,,(OBS.NAME: Calibration // OBS.ID: -1),0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-01.csv
13,LOG,2018-02-01T14:17:32.104Z,GRAVITY,wgv,wgv,wgv,bob_47127,197,seq,,,,OB aborted after 1017 seconds at 2018-02-01T14:17:32,0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-01.csv
14,LOG,2018-02-01T14:19:10.491Z,GRAVITY,wgv,wgv,wgv,bob_47127,197,seq,,,,OB started at 2018-02-01T14:19:10,0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-01.csv
15,LOG,2018-02-01T14:19:57.497Z,GRAVITY,wgv,wgv,wgv,bob_47127,197,seq,,,,OB aborted after 39 seconds at 2018-02-01T14:19:49,0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-01.csv
16,LOG,2018-02-01T14:20:55.055Z,GRAVITY,wgv,wgv,wgv,bob_47127,197,seq,,,,OB started at 2018-02-01T14:20:55,0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-01.csv
17,LOG,2018-02-01T14:20:55.055Z,GRAVITY,wgv,wgv,wgv,bob_47127,197,seq,,,,(OBS.NAME: Calibration // OBS.ID: -1),0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-01.csv
18,LOG,2018-02-01T14:22:28.321Z,GRAVITY,wgv,wgv,wgv,bob_47127,197,seq,,,,OB aborted after 39 seconds at 2018-02-01T14:22:23,0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-01.csv
19,LOG,2018-02-01T14:23:56.594Z,GRAVITY,wgv,wgv,wgv,bob_47127,197,seq,,,,(OBS.NAME: Calibration // OBS.ID: -1),0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-01.csv
20,LOG,2018-02-02T18:19:41.364Z,GRAVITY,wgv,wgv,wgv,bob_36376,97,seq,,,,OB paused at 2018-02-02T18:19:41,0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-02.csv
21,LOG,2018-01-29T09:21:37.586Z,GRAVITY,wgv,wgv,wgv,bob_23983,123,seq,,,,OB finished (TERMINATED) in 1104 seconds at 2018-01-29T09:21:37,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-28.csv
22,LOG,2018-02-03T12:41:02.246Z,GRAVITY,wgv,wgv,wgv,bob_ins,77,seq,,,,(OBS.NAME: Calibration // OBS.ID: 200385148),0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-03.csv
23,LOG,2018-02-03T12:45:58.759Z,GRAVITY,wgv,wgv,wgv,bob_ins,77,seq,,,,OB aborted after 294 seconds at 2018-02-03T12:45:56,0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-03.csv
24,LOG,2018-02-04T18:41:25.773Z,GRAVITY,wgv,wgv,wgv,bob_16237,115,seq,,,,OB started at 2018-02-04T18:41:25,0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-04.csv
25,LOG,2018-01-30T07:50:05.777Z,GRAVITY,wgv,wgv,wgv,bob_13298,252,seq,,,,ERROR: ACK ABORT (red),0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-29.csv
26,LOG,2018-01-31T06:46:33.053Z,GRAVITY,wgv,wgv,wgv,bob_ins,74,seq,,,,(OBS.NAME: Calibration // OBS.ID: 200385148),0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-30.csv
27,LOG,2018-02-04T01:18:17.371Z,GRAVITY,wgv,wgv,wgv,bob_14220,71,seq,,,,OB started at 2018-02-04T01:18:17,0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-03.csv
28,LOG,2018-02-04T01:18:17.371Z,GRAVITY,wgv,wgv,wgv,bob_14220,71,seq,,,,(OBS.NAME: B02_HD45669_MED_SPLIT // OBS.ID: 200426867),0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-03.csv
29,LOG,2018-02-03T15:29:07.745Z,GRAVITY,wgv,wgv,wgv,bob_ins,77,seq,,,,(OBS.NAME: Calibration // OBS.ID: 200385148),0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-03.csv
30,LOG,2018-02-03T15:29:07.745Z,GRAVITY,wgv,wgv,wgv,bob_ins,77,seq,,,,OB started at 2018-02-03T15:29:07,0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-03.csv
31,LOG,2018-01-29T08:44:14.904Z,GRAVITY,wgv,wgv,wgv,bob_23983,123,seq,,,,OB finished (TERMINATED) in 3163 seconds at 2018-01-29T08:44:14,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-28.csv
32,LOG,2018-02-01T14:03:12.598Z,GRAVITY,wgv,wgv,wgv,bob_47127,197,seq,,,,OB paused at 2018-02-01T14:03:12,0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-01.csv
33,LOG,2018-02-01T14:21:30.906Z,GRAVITY,wgv,wgv,wgv,bob_47127,197,seq,,,,OB aborted after 35 seconds at 2018-02-01T14:21:30,0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-01.csv
34,LOG,2018-02-01T14:21:44.297Z,GRAVITY,wgv,wgv,wgv,bob_47127,197,seq,,,,OB started at 2018-02-01T14:21:44,0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-01.csv
35,LOG,2018-02-01T14:21:44.297Z,GRAVITY,wgv,wgv,wgv,bob_47127,197,seq,,,,(OBS.NAME: Calibration // OBS.ID: -1),0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-01.csv
36,LOG,2018-02-01T14:23:56.594Z,GRAVITY,wgv,wgv,wgv,bob_47127,197,seq,,,,OB started at 2018-02-01T14:23:56,0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-01.csv
37,LOG,2018-01-30T05:50:39.804Z,GRAVITY,wgv,wgv,wgv,bob_13298,252,seq,,,,OB started at 2018-01-30T05:50:39,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-29.csv
38,LOG,2018-01-30T05:50:39.804Z,GRAVITY,wgv,wgv,wgv,bob_13298,252,seq,,,,(OBS.NAME: SCI_L2Pup // OBS.ID: 1828994),0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-29.csv
39,LOG,2018-02-02T22:33:40.417Z,GRAVITY,wgv,wgv,wgv,bob_46646,28,seq,,,,OB paused at 2018-02-02T22:33:40,0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-02.csv
40,LOG,2018-02-01T14:54:28.528Z,GRAVITY,wgv,wgv,wgv,bob_48152,216,seq,,,,OB started at 2018-02-01T14:54:28,0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-01.csv
41,LOG,2018-02-01T14:54:28.528Z,GRAVITY,wgv,wgv,wgv,bob_48152,216,seq,,,,(OBS.NAME: Maintenance // OBS.ID: -1),0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-01.csv
42,LOG,2018-02-05T13:23:21.820Z,GRAVITY,wgv,wgv,wgv,bob_16237,115,seq,,,,OB paused at 2018-02-05T13:23:21,0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-05.csv
43,LOG,2018-02-01T19:29:51.410Z,GRAVITY,wgv,wgv,wgv,bob_32178,234,seq,,,,(OBS.NAME: Calibration // OBS.ID: -1),0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-01.csv
44,LOG,2018-02-05T14:34:50.593Z,GRAVITY,wgv,wgv,wgv,bob_16237,115,seq,,,,OB started at 2018-02-05T14:34:50,0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-05.csv
45,LOG,2018-01-29T07:02:01.519Z,GRAVITY,wgv,wgv,wgv,bob_23983,123,seq,,,,OB finished (TERMINATED) in 1194 seconds at 2018-01-29T07:02:01,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-28.csv
46,LOG,2018-01-29T07:02:11.131Z,GRAVITY,wgv,wgv,wgv,bob_23983,123,seq,,,,OB started at 2018-01-29T07:02:11,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-28.csv
47,LOG,2018-01-31T06:46:33.053Z,GRAVITY,wgv,wgv,wgv,bob_ins,74,seq,,,,OB started at 2018-01-31T06:46:33,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-30.csv
48,LOG,2018-01-29T07:27:41.043Z,GRAVITY,wgv,wgv,wgv,bob_23983,123,seq,,,,"Parallel : WaitForAll failed, reason : ACK ABORT (red)",0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-28.csv
49,LOG,2018-01-29T05:30:00.040Z,GRAVITY,wgv,wgv,wgv,bob_23983,123,seq,,,,OB finished (TERMINATED) in 1744 seconds at 2018-01-29T05:30:00,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-28.csv
50,LOG,2018-01-29T05:30:06.805Z,GRAVITY,wgv,wgv,wgv,bob_23983,123,seq,,,,(OBS.NAME: SCI_HD45677_GRAVITY_A0B2C1D0_MEDIUM-COMBINED_FT // OBS.ID: 1797296),0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-28.csv
51,LOG,2018-01-28T04:44:51.475Z,GRAVITY,wgv,wgv,wgv,bob_44345,166,seq,,,,OB finished (TERMINATED) in 473 seconds at 2018-01-28T04:44:51,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-27.csv
52,LOG,2018-02-04T06:07:02.156Z,GRAVITY,wgv,wgv,wgv,bob_14220,71,seq,,,,OB started at 2018-02-04T06:07:02,0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-03.csv
53,LOG,2018-02-04T06:07:02.156Z,GRAVITY,wgv,wgv,wgv,bob_14220,71,seq,,,,(OBS.NAME: SCI_HRCar_GRAVITY_A0G1J2J3_LOW-COMBINED_noFT // OBS.ID: 1810748),0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-03.csv
54,LOG,2018-01-28T07:31:35.969Z,GRAVITY,wgv,wgv,wgv,bob_44345,166,seq,,,,OB paused at 2018-01-28T07:31:35,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-27.csv
55,LOG,2018-01-31T08:11:33.088Z,GRAVITY,wgv,wgv,wgv,bob_ins,74,seq,,,,OB finished (TERMINATED) in 5100 seconds at 2018-01-31T08:11:33,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-30.csv
56,LOG,2018-01-28T04:47:18.632Z,GRAVITY,wgv,wgv,wgv,bob_44345,166,seq,,,,(OBS.NAME: CAL_HIP50644_GRAVITY_A0B2C1D0_LOW-COMBINED_FT // OBS.ID: 1810783),0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-27.csv
57,LOG,2018-01-30T04:37:55.932Z,GRAVITY,wgv,wgv,wgv,bob_13298,252,seq,,,,OB finished (TERMINATED) in 1440 seconds at 2018-01-30T04:37:55,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-29.csv
58,LOG,2018-01-30T04:38:08.007Z,GRAVITY,wgv,wgv,wgv,bob_13298,252,seq,,,,(OBS.NAME: SCI_L2Pup // OBS.ID: 1828987),0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-29.csv
59,LOG,2018-01-28T04:36:50.808Z,GRAVITY,wgv,wgv,wgv,bob_44345,166,seq,,,,OB finished (TERMINATED) in 2142 seconds at 2018-01-28T04:36:50,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-27.csv
60,LOG,2018-02-05T14:34:50.593Z,GRAVITY,wgv,wgv,wgv,bob_16237,115,seq,,,,(OBS.NAME: Maintenance // OBS.ID: -1),0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-05.csv
61,LOG,2018-01-28T04:19:42.615Z,GRAVITY,wgv,wgv,wgv,bob_44345,166,seq,,,,OB paused at 2018-01-28T04:19:42,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-27.csv
62,LOG,2018-01-29T07:34:55.596Z,GRAVITY,wgv,wgv,wgv,bob_23983,123,seq,,,,OB continued at 2018-01-29T07:34:55,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-28.csv
63,LOG,2018-01-29T07:34:12.705Z,GRAVITY,wgv,wgv,wgv,bob_23983,123,seq,,,,OB paused at 2018-01-29T07:34:12,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-28.csv
64,LOG,2018-01-30T07:11:07.973Z,GRAVITY,wgv,wgv,wgv,bob_13298,252,seq,,,,OB finished (TERMINATED) in 1826 seconds at 2018-01-30T07:11:07,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-29.csv
65,LOG,2018-01-30T07:13:26.966Z,GRAVITY,wgv,wgv,wgv,bob_13298,252,seq,,,,(OBS.NAME: SCI_GGCar // OBS.ID: 1775245),0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-29.csv
66,LOG,2018-01-30T07:11:53.654Z,GRAVITY,wgv,wgv,wgv,bob_13298,252,seq,,,,(OBS.NAME: SCI_GGCar // OBS.ID: 1775245),0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-29.csv
67,LOG,2018-01-30T07:11:53.653Z,GRAVITY,wgv,wgv,wgv,bob_13298,252,seq,,,,OB started at 2018-01-30T07:11:53,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-29.csv
68,LOG,2018-01-29T08:25:35.892Z,GRAVITY,wgv,wgv,wgv,bob_23983,123,seq,,,,OB paused at 2018-01-29T08:25:35,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-28.csv
69,LOG,2018-01-29T07:47:21.244Z,GRAVITY,wgv,wgv,wgv,bob_23983,123,seq,,,,OB finished (TERMINATED) in 1168 seconds at 2018-01-29T07:47:21,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-28.csv
70,LOG,2018-01-29T07:55:03.337Z,GRAVITY,wgv,wgv,wgv,bob_23983,123,seq,,,,OB continued at 2018-01-29T07:55:03,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-28.csv
71,LOG,2018-01-28T05:04:12.555Z,GRAVITY,wgv,wgv,wgv,bob_44345,166,seq,,,,OB finished (TERMINATED) in 1014 seconds at 2018-01-28T05:04:12,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-27.csv
72,LOG,2018-02-06T00:44:49.938Z,GRAVITY,wgv,wgv,wgv,bob_12042,91,seq,,,,OB started at 2018-02-06T00:44:49,0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-05.csv
73,LOG,2018-02-06T00:49:03.550Z,GRAVITY,wgv,wgv,wgv,bob_12042,91,seq,,,,OB aborted after 71 seconds at 2018-02-06T00:49:01,0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-05.csv
74,LOG,2018-02-06T00:49:07.676Z,GRAVITY,wgv,wgv,wgv,bob_12042,91,seq,,,,OB started at 2018-02-06T00:49:07,0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-05.csv
75,LOG,2018-02-06T00:49:43.476Z,GRAVITY,wgv,wgv,wgv,bob_12042,91,seq,,,,OB started at 2018-02-06T00:49:43,0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-05.csv
76,LOG,2018-02-06T00:49:43.476Z,GRAVITY,wgv,wgv,wgv,bob_12042,91,seq,,,,(OBS.NAME: CAL_HD38117 // OBS.ID: 1400141),0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-05.csv
77,LOG,2018-01-28T05:06:15.734Z,GRAVITY,wgv,wgv,wgv,bob_44345,166,seq,,,,OB finished (TERMINATED) in 0 seconds at 2018-01-28T05:06:15,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-27.csv
78,LOG,2018-01-28T05:06:21.653Z,GRAVITY,wgv,wgv,wgv,bob_44345,166,seq,,,,OB started at 2018-01-28T05:06:21,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-27.csv
79,LOG,2018-02-02T23:02:23.204Z,GRAVITY,wgv,wgv,wgv,bob_46646,28,seq,,,,OB finished (TERMINATED) in 5476 seconds at 2018-02-02T23:02:23,0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-02.csv
80,LOG,2018-02-05T14:38:58.419Z,GRAVITY,wgv,wgv,wgv,bob_16237,115,seq,,,,(OBS.NAME: Maintenance // OBS.ID: -1),0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-05.csv
81,LOG,2018-01-27T08:40:11.470Z,GRAVITY,wgv,wgv,wgv,bob_901,189,seq,,,,OB started at 2018-01-27T08:40:11,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-26.csv
82,LOG,2018-01-27T08:40:11.470Z,GRAVITY,wgv,wgv,wgv,bob_901,189,seq,,,,(OBS.NAME: CAL_HD80404 // OBS.ID: 1818573),0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-26.csv
83,LOG,2018-01-27T10:48:55.629Z,GRAVITY,wgv,wgv,wgv,bob_ins,195,seq,,,,OB finished (TERMINATED) in 6222 seconds at 2018-01-27T10:48:55,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-26.csv
84,LOG,2018-01-29T09:03:13.045Z,GRAVITY,wgv,wgv,wgv,bob_23983,123,seq,,,,OB started at 2018-01-29T09:03:13,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-28.csv
85,LOG,2018-01-29T09:04:10.175Z,GRAVITY,wgv,wgv,wgv,bob_22602,196,seq,,,,(OBS.NAME: CAL_AlfCenAB_FTA_SCB // OBS.ID: 1800719),0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-28.csv
86,LOG,2018-01-29T07:27:43.010Z,GRAVITY,wgv,wgv,wgv,bob_23983,123,seq,,,,ACK ABORT (red),0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-28.csv
87,LOG,2018-01-29T07:27:53.957Z,GRAVITY,wgv,wgv,wgv,bob_23983,123,seq,,,,OB started at 2018-01-29T07:27:53,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-28.csv
88,LOG,2018-02-05T14:58:11.394Z,GRAVITY,wgv,wgv,wgv,bob_10418,142,seq,,,,OB finished (TERMINATED) in 221 seconds at 2018-02-05T14:58:11,0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-05.csv
89,LOG,2018-01-28T05:15:34.337Z,GRAVITY,wgv,wgv,wgv,bob_44345,166,seq,,,,OB paused at 2018-01-28T05:15:34,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-27.csv
90,LOG,2018-02-02T22:38:57.503Z,GRAVITY,wgv,wgv,wgv,bob_46646,28,seq,,,,OB continued at 2018-02-02T22:38:57,0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-02.csv
91,LOG,2018-02-05T13:38:30.501Z,GRAVITY,wgv,wgv,wgv,bob_16237,115,seq,,,,OB started at 2018-02-05T13:38:30,0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-05.csv
92,LOG,2018-02-05T13:38:30.501Z,GRAVITY,wgv,wgv,wgv,bob_16237,115,seq,,,,(OBS.NAME: Calibration // OBS.ID: -1),0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-05.csv
93,LOG,2018-01-29T09:22:37.247Z,GRAVITY,wgv,wgv,wgv,bob_22602,196,seq,,,,OB continued at 2018-01-29T09:22:37,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-28.csv
94,LOG,2018-01-29T09:22:37.269Z,GRAVITY,wgv,wgv,wgv,bob_22602,196,seq,,,,OB finished (TERMINATED) in 1107 seconds at 2018-01-29T09:22:37,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-28.csv
95,LOG,2018-01-29T08:25:49.225Z,GRAVITY,wgv,wgv,wgv,bob_23983,123,seq,,,,OB continued at 2018-01-29T08:25:49,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-28.csv
96,LOG,2018-02-05T13:20:59.540Z,GRAVITY,wgv,wgv,wgv,bob_16237,115,seq,,,,(OBS.NAME: Calibration // OBS.ID: -1),0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-05.csv
97,LOG,2018-01-28T07:59:50.218Z,GRAVITY,wgv,wgv,wgv,bob_44345,166,seq,,,,OB finished (TERMINATED) in 2480 seconds at 2018-01-28T07:59:50,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-27.csv
98,LOG,2018-01-28T08:00:00.074Z,GRAVITY,wgv,wgv,wgv,bob_44345,166,seq,,,,OB started at 2018-01-28T08:00:00,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-27.csv
99,LOG,2018-01-28T08:00:00.074Z,GRAVITY,wgv,wgv,wgv,bob_44345,166,seq,,,,(OBS.NAME: CAL_HIP50644_GRAVITY_A0B2C1D0_LOW-COMBINED_FT // OBS.ID: 1810809),0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-27.csv
100,LOG,2018-01-28T05:48:39.081Z,GRAVITY,wgv,wgv,wgv,bob_44345,166,seq,,,,OB finished (TERMINATED) in 2538 seconds at 2018-01-28T05:48:39,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-27.csv
101,LOG,2018-01-28T05:49:02.856Z,GRAVITY,wgv,wgv,wgv,bob_44345,166,seq,,,,OB started at 2018-01-28T05:49:02,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-27.csv
102,LOG,2018-01-28T05:49:02.877Z,GRAVITY,wgv,wgv,wgv,bob_44345,166,seq,,,,OB paused at 2018-01-28T05:49:02,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-27.csv
103,LOG,2018-01-28T08:09:03.497Z,GRAVITY,wgv,wgv,wgv,bob_44345,166,seq,,,,OB started at 2018-01-28T08:09:03,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-27.csv
104,LOG,2018-01-28T06:48:49.075Z,GRAVITY,wgv,wgv,wgv,bob_44345,166,seq,,,,(OBS.NAME: CAL_HIP50644_GRAVITY_A0B2C1D0_LOW-COMBINED_FT // OBS.ID: 1810797),0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-27.csv
105,LOG,2018-01-28T05:54:12.063Z,GRAVITY,wgv,wgv,wgv,bob_44345,166,seq,,,,OB continued at 2018-01-28T05:54:12,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-27.csv
106,LOG,2018-01-28T06:11:57.567Z,GRAVITY,wgv,wgv,wgv,bob_44345,166,seq,,,,(OBS.NAME: SCI_HRCar_GRAVITY_A0B2C1D0_LOW-COMBINED_noFT // OBS.ID: 1810794),0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-27.csv
107,LOG,2018-01-29T08:44:26.670Z,GRAVITY,wgv,wgv,wgv,bob_23983,123,seq,,,,(OBS.NAME: CAL_AlfCenAB_FTA_SCB // OBS.ID: 1800719),0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-28.csv
